Title,Grade,Tag,Content,Images,ID
A Little Snowflake,K,Rhyme,"I am a little snowflake, unique and small
Falling gently to the ground, I make a shawl.
I twirl and dance, caught in the breeze
But when I land, I'm just a memory.
I'm a little snowflake, floating in the air
A winter wonder, everywhere.
So come and play, let's make a snowman
I'm a little snowflake, as gentle as lamb.",A Little Snowflake.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/IJiUxrB-KDKEMdesayoPFg/EzuSABZp_9jlsl0QWpdz87lgYLfEJQ6AoqhXVZ6HTmvkWlU9cW8Rp_xYDrhrgkf2MemdcWomG9ZVzk3wkH_Q-CBsWex7yxZ3n_-_0OM85Xw/7HQRoSjwE9yxSpx42hT8or_QED686iFlzJvb667k4UM),1
Fruits I Adore,K,Rhyme,"Peaches, pears and plums so sweet
I could eat them all, a delicious treat
Grapes, guava and grapefruit too
I love them all, what about you?",Fruits I Adore (1).png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/EGvhJ4MngxGBzGNzbV68iA/KEgkGJvw_yDDfd3UZbWjQc3awLU4whAVJKRVEa7b4Ige1nmgbDtCKPPNOvTZpkjBcB_U4OS8F9085HmsFO2coaT6F9WyQ-E_2NW1XwEjP48/Hem4AvewcTAB8ldm800SRWfj5EUBKpvEl54O7ibASBs),2
Three Little Puppies,K,Short Story,"Once upon a time there were three little puppies. Their mother sent them out into the world to seek their fortunes.
The first little puppy built a little straw house. The second built a house of sticks, and the third little puppy built a house of bricks.
One day, a big bad wolf came along and tried to blow down the house of straw. The wolf succeeded and the first little puppy ran to the second little puppy's house.
The bad wolf then tried to blow the second little puppy's house down and again he was successful.
The two little puppies then ran to the third little puppy's house built with bricks. The wolf now tried to blow the third little puppy's house but as it was made of brick, he failed this time.
The wolf became frustrated and climbed up onto the roof of the third brick house. He wanted to enter the house through the chimney. But the smart third little puppy had a fireplace in its house. So the wolf got burned and ran away.
This way the three little puppies outsmart the wolf and live happily ever after in the brick house.",Three Little Puppies.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/Ttak3TIeaxNfVa5Y52hEaQ/RGL-Sb1Yf3nk2PYca1QPGKcPyKrQ4TCCyj2IkQUhluhRao3XangoStEDBglvcrHve28JGENMnuZkLzbL_GZpwsBdIVIaiX5r52jNk9mGhsI/LFdMNEVkdBK53AxyuImQ861_2BelxBTXpZMdOkMAg1g),3
Humpty Dumpty,K,Rhyme,"Humpty Dumpty sat on a wall
Humpty Dumpty had a great fall
All the king's horses and all the king's men 
Couldn't put Humpty together again.",Humpty Dumpty.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/5XCHBMiBWYW5xwdE4nMQAw/yFRe4z30MyHiu9CzHjflio62OIRtdBDMfa4DyTOx3hccUnF-JC42bb7ZcFYW_XsG-iURJebRrwoW_vC989KR7hlaGF8kSj0kkYzYUONQr0M/iiM8_BAH25LX88w5W4Nz9B2G-dt2vZUoBBFtMdYpU38),4
The Greedy Mouse,K,Short Story,"Once upon a time, there was a greedy mouse named Jerry. He lived in a small hole in the wall of a grand old house, and spent his days scurrying around the kitchen, stealing bits of cheese and crumbs of bread whenever he could.

Despite his constant thievery, Jerry never seemed to have enough. He was always looking for more and more food, and his insatiable hunger led him to take bigger and bigger risks.

One day, Jerry heard about a delicious wedding feast that was being prepared in the house. His mouth watered at the thought of all that food, and he knew he had to have it. So, he hatched a plan to sneak into the banquet hall and make off with as much as he could carry.

Jerry waited until everyone was asleep, and then he made his way to the banquet hall. The tables were piled high with every kind of delicacy imaginable, and Jerry's eyes grew wide with greed. He filled his pockets with as much food as he could, and was about to make his escape when he was spotted by the house cat.

The cat chased Jerry through the house, but the little mouse was quick and clever. He managed to evade the cat and make it back to his hole in the wall, where he feasted on his stolen loot.

But even as he ate, Jerry couldn't shake the feeling that he wanted more. And so, he set his sights on the next big feast, determined to outdo himself and take even more. In the end, his greed was his downfall, as the cat eventually caught him and he could never steal food again.

The moral of the story is that greed can be dangerous and that one should be content with what they have.",The Greedy Mouse.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/oLH0k-fXUEXdLLkR8Q_g0g/MbW1blfxouU1pzgtY2krxkeqeWVZ9C-kSUHh9HhzbVjpxtihSRQW1G0tUCp0nGuRQj-LpAc9OYIHIJLYK-ZYa2H5pJU76jZn-BxaNMQdbEY/it3EjZ2UpC8URn3oHlKWNUeizC0x6itLY8u3KLX0nc8),5
Allah Is Great,K,Rhyme,"Allah is great, Allah is good
He watches over us, as we should.
We pray to Him each day and night
To guide us and make everything right.
Inshaallah, with His love and grace
We'll grow and learn, at our own pace.
May He bless us, now and always
Ameen, let His peace and joy be ours.",Allah Is Great.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/zXVE6Y2u_Vr19TAwfMDpsQ/RGJL5i-GcTVjPV2D9okcKOWqb7MmPIsrZSiTrmZC4I4u--VDxK4gj2x7T3P9-ekgG3V0DtZfEHD76NjoKaN5yJjW76_5qZXWMSTvcDKOGY8/xNSMqz6u2WcD7MwiRmWcMVa3SUxwyDKKBLQFSi1YOIE),6
A Fairy Tale,K,Short Story,"Once upon a time, in a far-off kingdom, there lived a princess named Rose. She was the most beautiful princess in all the land, with long golden hair and a smile that could light up a room.
One day, while out for a walk in the forest, Rose came across a tiny fairy named Sparkles. Sparkles had been separated from her family and was lost. Rose felt sorry for Sparkles and offered to help her find her way back home.
Together, Rose and Spark set off on a journey through the forest. They encountered all sorts of magical creatures, including talking animals and enchanted plants. Eventually, they came to a clearing where they found a group of fairies having a party.
Sparkles was overjoyed to be reunited with her family, and she introduced Rose to all of her friends. The fairies were so grateful to Rose for helping Sparkles that they invited her to stay and join in the party.
Rose had the best time of her life at the fairy party, and she was sad to leave when it was over. But she knew she had to return to the castle. Sparkles promised to visit Rose whenever she wanted. And the two became best friends.",A Fairy Tale.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/H6f7rIOLj529-SoEhJYywg/OYeTBw6VXrGcdDlyL0BGr_7D-6zKdZTbF70NzBsucnR9-vZ9Sp7sRiPYfGrvxo67Oqd4i_mUxpgxJ0g-0XHotQvpYllZUfAh8IZwQYmOw-o/uMwYgiqO5W2KujCYoTrkAGtDRPlZHbAf9YKl19iKdV8),7
January,K,Rhyme,"January, January
The first month of the year
It's cold outside
But it is warm and cozy here.
We bundle up tight
And play in the snow;
January, January
A month we all know!",January.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/2H1kZrKFnhvk0Mn0vX93Lw/uu_JjtCJ7rrOXjp1penAQG9GZsO68gpksmlDB_ra3XZMLoWkz6LXczJ5ml0fXN3oECgduBWPLrFwb2C96P_H5mP7xemz1cuWo2GWCo75NGk/fGft4o2ILs-D2nVSASCEd4v7SKtHj-hRRguesQ24u10),8
At the Zoo,K,Rhyme,"At the zoo, the fun never ends
There are animals to see and new friends to make
From the swinging monkeys high up in the trees
To the graceful giraffes with their long necks and gentle breeze.

There's the fierce lion with a mighty roar
And the playful penguins, sliding on the shore
The curious otters, diving in the pond
And the colorful parrots, flying beyond.

At the zoo, there's always something new
So come and join the fun, we'll be waiting just for you!",At the Zoo.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/KGafwwiOT3T0mvH0Qlr7WA/jVTw6ZAMUz2F1MiU7GQqai2Na_bKD296UgAIv32WooXTXh2uWh3mWwyQ-Ar5ANw6t1Y-638tSrsiRcfxMZASBVpaBsZQq81NIWI1zb_-JEI/1Ekgxm4QJTMGsf0_8FvNsdGJBY8euNWruO1Xnk0KPhs),9
Story about Vowels,K,Short Story,"There was once a little girl named Ayla who loved the alphabet. She spent every day practicing her letters and trying to write the most beautiful words she could think of. Ayla was especially fond of the vowels - A,E,I,O,U. Because she thought they were the most magical and versatile letters of all.
Ayla decided to embark on an adventure to visit each of the vowels in person one day. She packed a snack bag and set out into the great unknown.
Her first destination was the letter A. Ayla discovered A in the middle of a vast apple orchard, surrounded by rows and rows of juicy, red apples. A was a warm and welcoming letter, and she invited Ayla to stay and pick as many apples as she pleased. Ayla enjoyed eating apples and playing games with A, but it was time for her to move on to her next destination.
Ayla then went to see the letter E. E lived in a grand, elegant seaside mansion. Ayla was in awe of her grand surroundings, and E was the most refined and sophisticated vowel. E showed Ayla around her lovely home and taught her how to waltz. Ayla was having so much fun that she almost didn't want to leave, but she knew she had to continue on her journey.
Ayla's third destination was the letter I. I was living in a bright and colorful circus tent where she was the main attraction. I had a variety of tricks up her sleeve, and she kept Ayla entertained with jumping feats and magical illusions. Ayla was captivated by I's talent and asked if she could stay and learn to perform as well. I was delighted to help, and Ayla spent the rest of the day shaping her skills.
O was the fourth vowel on Ayla's list. O lived in the middle of a dense forest in a large, cozy treehouse. O was the most relaxed and easygoing vowel, and Ayla enjoyed spending time with her and exploring the woods. They made a campfire and sang songs under the stars, and Ayla fell asleep that night completely at ease.
It was finally time for Ayla to meet the final vowel on her list - U. U ruled over a kingdom of mermaids and sea monsters in a beautiful underwater kingdom. U was the most daring and adventurous vowel, and Ayla couldn't wait to see what exciting things she had in store for her. U showed Ayla around her underwater kingdom, pointing out all the wonders of the sea. They rode dolphins, explored fishing boats, and even encountered a giant octopus. Ayla had the time of her life with U and was sad to say goodbye when her journey came to an end.
Ayla knew she'd never forget her incredible adventure with the vowels as she returned home. She'd learned so much and made so many new friends, and she couldn't wait to tell everyone about it.",Story about Vowels.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/PTyYxS-mhaj4lzLuUs2zIA/pJaJ4UupsrRQ8-6cSbZY1NsljsZjNugKFqjDI8az-_92awj3OGz3my1Uq1jLedxNkKFhRCiTFEODFPn1TCT0LmBL2aKDKjLmigb--2BuzMs/iOEu8BjmBi21YD2ndEXJ_yCYERLfwq7X7Q2VCPBIUwU),10
