Title,Subject,grade,section,lessons,Field 5,File,ID
What Is a Penny?,MATH,1,Life Skills,Use pennies,https://drive.google.com/file/d/1__zfOqYStjZtK9k5My_AJRqo7f8VmE0r/view?usp=share_link,What Is a Penny.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/RscAJrd4mce-Lt-7OENOZQ/I3ACdcmfX6mg5s52ilL9q-dLupfTWVhFfagWWEwiJdZWaYvVHkEzITtA_caaOu7X9QNxkbI_5cBm9dvLgj-ReHDoD-DUSauvhTpcvfRO8oE/fis4uh7a2n9geFdx4vJ3iwXUA5BBRuJpNNILsrPRUXs),1
Irregular Plural Nouns,Language,2,Parts of Speech,Choose Irregular Plural Nouns,https://drive.google.com/file/d/1_1PKaxDb4qS3Z2p537lk3LXmMkYEJSWe/view?usp=sharing,Irregular Plural Nouns.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/g3ktnhZcOnLftBsLCs5qWQ/y7wspklRHECLs_eBciTXrajM0psobE_h0QvwtSJ5YfTHGIqjYREQC8SqsJoi3O1ksaVylv4EFUtzqKUZuQ-EFFecSRz9LjrtcEpo_eGQbf0/f2Rpd3izJtElI530HFvS0QeB0fsYzsmHixe1XDZ7-K8),2
Learning Linear Equations Part 1,MATH,8,Equations,Graph linear equations Part 1,https://drive.google.com/file/d/1_4iqXCK5i4I41SeKJSisZIr-kvV6jlI5/view?usp=share_link,Learning Linear Equations Part 1.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/qsFX-Fc2SRRuwxw1ohOrlQ/Dy4o-CFJP2_aqD2tdMy15zteBYF5XINndOSMxyvaeoQYtUChHR-lwxFAI5CEbEm0tiuESiroTU3KWvQXST0hptIN3BFz2PzyTo4HhrxJiR-5MmmO0ffqrvbudDSD3j4m/Y1I_YCWRLliuXJLNiW9BBvSzpr-QwQGLAd-BE_UluQA),3
Using Nouns,Language,K,Parts of Speech,Use Singular and Plural Nouns,https://drive.google.com/file/d/1_kSWGddUb6RiVkZrVATxPNbTp2_lBYX6/view?usp=sharing,Using Nouns.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/yALIMRy1w9Rilzg1p4K_IA/dgxvNvrQRlb6lii41sKv3QFha32vxZxQpsd8BWsNL4EWW5mO7gG-Xprw4rBQiez4YTYtjyGseWkBgCvwCCudunjm1lkiK8P2yLLrhhSWcbQ/Jsc-tgLZ2p8HiX0oQwHiHLr4eF44gL-b-P6mRkbhUPc),4
Using Verbs with Singular Pronouns,Language,1,Subject-Verb Agreement,"Use Regular Verbs with Singular Pronouns (he, she, it)",https://drive.google.com/file/d/1_LGdVXkmbwwe8VxrN6v3Vt4CMfrCx_GT/view?usp=sharing,Using Verbs with Singular Pronouns.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/uV-y2-zxmH6pZPVeeb6sDA/6Bbru_sayjAdcLhGMevZemg-XIgycFiydNr0n7ZsuEf-hlll7mjTKKZb1wFCBjaMMGtpWHWSxb7Hvc2Ob3zcDDg5vBdqjvWVxd0uzUKaypVbvJDCt3W3TdeLi7ZO2cUh/E3etVNSnQD-i_5Wbs2nOws_E75S18ejRCbi1A7fIWNY),5
Let's Learn Decimals,MATH,5,Operations,Read and write decimals,https://drive.google.com/file/d/1_LlgKnwjNTMxUiyFCVEUE9oSQ7wHdydD/view?usp=share_link,Let's Learn Decimals.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/QDucKPAPjm1-9V2SfWMKqA/lxDo8HHHpT8Oxj0qy7KuGUcfEX7eGIj4hf40zVkVF2Fd5LFgV4MJOF2KcNkEF1tELvwGiWLA8lNQaQ3qccNk6fCqMBCMe1v0bqHlSU_JSA0/OIL1YKhuBz0KrUiByFD1GCqhDiWT_Pc97Gvhe2z4tDw),6
Let's Write Lowercase Letters,Language,1,The Alphabet,Tracing Lowercase Letters (ghijk),https://drive.google.com/file/d/1_o8QlPQFd0uY6VQPBsPlQtMQAmh9r_Cf/view?usp=sharing,Let's Write Lowercase Letters.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/Kuta_XvQ0eiHUkIg_DOZhQ/QchANIU2S1j3CotRQko9PvtO6F2uxQPLslM5FXSE2Bmh6ULQVExkbA18xTKRs_CeMjAhwxYTGSxqW93uN1XGYu5VPB0QunscjoyEMl7t9UuepeQEm7Z0hflmpvfk1RUg/T0fCaLM5JWlnlHaL_hbXRJtyhcZxsDH1gW-XZQaPTwY),7
Let's Learn Long and Short,MATH,0,Measurements,Understand long and short,https://drive.google.com/file/d/1_R62EVNqDXPOF6H84_5Vs_bHDvhBMj81/view?usp=share_link,Let's Learn Long and Short.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/2UkeU5sbM70UNRtaigIqGA/GGzUlExdO8hfqtmSAQKuC5ETz3QMAuiH43obCmnbdYQqdBlGRwlStHidX2j_LwUCnQOE7nqbwHXJpyVhMCxYhqZNI_rzJVK0hbwGGy0zPGOJhFvmTOA6zjQfwZXi66gI/g_O0UqMni45kTSjA1kTqjAwPBIxWScymXjw1KGyRlH8),8
Ending a Sentence,Language,K,Sentences,Recognize a Period at the End of a Sentence,https://drive.google.com/file/d/1_s0csw7NmcMJR7KWfoJ1nEmRVuPd89iO/view?usp=sharing,Ending a Sentence.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/AQtWtMh1XPeo-odeDdAjwg/wYLETT-TV_M-fVETf8P3X7KlPdMhbsPMOY00chWkfoCOk9adZAptm87cTFONG7-7h80SPRIs9wS6KEdyJqRkGv7m_xGjlKjYaKZuaRWEdX4/duv0MkGmEqzBXAlzEP80FMxNABOUDRictg_CV8SwVTE),9
Let's Solve Addition Word Problems,MATH,1,Addition and Subtraction Strategies,Solve word problems with addition unknowns,https://drive.google.com/file/d/1-6NnjAYR6sjaWzC_VUMwecsWeROWyqFp/view?usp=share_link,Let's Solve Addition Word Problems.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/fNgevrYo49UEMZQlFY1LSA/fHc4T67EfbHxwKUWRG2KpXFCAZMUhIWU0BSUm4RIh_B8l2GoV5ZJfLn2J2WSZViBSNkk-i1IIG9vFWPFUMauCKUzYh11E808Dyd86K4AOvnvQibCJ_H5Fu1NaRDRVcv3/PIKy0M08f3EcdK-dot3Lx3DF4MR9eY_72obexA0v8No),10
Let's Solve Addition Word Problems,MATH,1,Addition and Subtraction Strategies,Solve word problems with addition unknowns,https://drive.google.com/file/d/1-6NnjAYR6sjaWzC_VUMwecsWeROWyqFp/view?usp=share_link,Let's Solve Addition Word Problems.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/VwpSSxmfRVEvX7ABYZkz5A/wmflDPBFp7aFkjV0J88AvsFhr3rqgmw1t-ElTU9Fc7hAOBAij5WuB6NqYwzb3g7EbaIuQJnD1E5g2xXYgvFCm09jU_Wp8y-Uxyv-RVTVT8zV5c3BgS88d83-dPCagtlK/8k0HDZvnFKWculq5Zepn9Yom-LFPp-V-E-z9u05BnmI),11
Using Roman numerals,MATH,1,Life Skills,Use Roman numerals,https://drive.google.com/file/d/1-Ii01Qx20j_gneJXOTPuTCiRJHyYF6av/view?usp=share_link,Using Roman numerals.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/rXk6xIBZiJht_df7J93zgA/Wq__tnpXWPXeNbRgipWxS9ee527oN-Y8o-EcOLVJzD2dguQpo-fVQPE4VBObO6p3M0w73R3aquI_UoblV23ZkAfSU0X237Fila02HRCeqUk/IJ16tlfkOQ_kG6oNdsTtcdXiV8O-W54TyiuKaFNZ22U),12
Using Roman numerals Part 1,MATH,3,Life Skills,Use Roman numerals part 1,https://drive.google.com/file/d/1-KxLo3zD2GBxFVOoMUq7SNPJ9fxaMthy/view?usp=share_link,Using Roman numerals part 1.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/3sFtzDdHOFe5M40g8_2Nnw/bFi9dfahQ2YuHRGd04fDydNJiCLRSOYZZ78g8qveYMtYnDm-M1NmYJu4z9id5cyKZ7E-mFQZgOxwrRFJ83l4c4LXn9CAQjuam6A8PfumQiEwmzEpw3NdRNfFV_YPTRgX/ng_oBM-G00xzmCovz5WxCKcPpAHtRcwNQGxdW8ZkHdM),13
Finding Percentages,MATH,6,Ratios,Find the percent of a number,https://drive.google.com/file/d/1-L67o2jO51WErAJaX1zt4JvQ79tub-bL/view?usp=share_link,Finding Percentages.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/9wY5dTxF-S3EBTV9Mb76pw/dVrNCokVKis0W_XQnpRCIoINwZfUuGvpw4NdoUAiK3P67p7QZHsLjMp4XmtrP6B2p8fg0fAs5PzQIZCuOlNjOsVDnLu9ju8DM2U_O3m7gjQ/QL2qOygBE-iTn8IpKw85LerAsKwgQMhZNR4Ot6qVl0o),14
Using Conjunctions,Language,5,Parts of Speech,Use the Correct Correlative Conjunctions,https://drive.google.com/file/d/1-RZyPXf-4VyRk5cQf1b2O7ZB3W9SwF8A/view?usp=share_link,Using Conjunctions.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/2ZPtbUSgTdHj8njxphqybw/JN2Jj8LdrT9qj0u4GIQKPQD6kRKVv0Vrj_XLiPkuGSGpYITTHe130qaGhUo85iiiEq_SdcNLkzMdZIcUt3uUUiBUpdKNb5UKXfrLUK0gKxc/O0YQwrKhojE8oqKacqwWXpyXI2yLdOwK1en3USNgC2g),15
Counting multiples of 10,MATH,4,Multiplication Facts,Count multiples of 10,https://drive.google.com/file/d/1-tDKU7-yf1HOsuDdPLm7FtJ5lXVEDxEm/view?usp=share_link,Counting multiples of 10.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/NGWuxvDE4WL5NplGdZdOtw/UD9jZ7UY7pZscGempUAGcHKeRrZGVeRm5R-K6PySx9rYHA-5F5DXjXSW8ydZCmpsH14rdYd6cqrDC9DLn4Ojdn-FzMbZ7SCbVYUlbhyAg-GYdlOk3euN6WxPWWxqi-KN/xX8WNvhE80liAa_e77fURsg3o37h4xJ8NnQbWzn45c0),16
Identifying Quadrilaterals,MATH,4,Geometry,Identify Quadrilaterals and Attributes of Quadrilaterals,https://drive.google.com/file/d/10471VUxTQ8UZnDrttFy4Qz9vC5L95gyV/view?usp=share_link,Identifying Quadrilaterals.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/6JlBLbwgGkg1pBgEpxZ4bQ/jcDoiBjA9TqMo1xwFg-25DVUqLHhWdCfF4-gUoBb95DFEJplskdx-E94cbqT8sZpZhJ8JVQJz3D_li6SqwV91kcURTwIjxBDmhMWkcmzU4E70boL1RHF6s2KzsgKqOdU/4GYRsGlXU3J8nEnLM85vaQpUf8QzQ0hEptxD6axLE6M),17
